NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0477526,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3696213,551407,2026-01-05T20:00:13.220000,,2026-01-05T20:00:13.220000,2026-01-05T20:04:22.327000,NAT,Necessary Action Taken,Y,7A01,Chef Menteur Hwy & Downman Rd,70126,7,POINT (-90.0208909 30.00972285)
A0477626,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,2A,3710873,567191,2026-01-05T20:00:34.897000,2026-01-05T20:01:11.483000,2026-01-05T20:12:03.430000,2026-01-05T20:22:30.647000,NAT,Necessary Action Taken,N,7I14,079XX Mercier St,70128,7,POINT (-89.9739844 30.05265398)
A0477726,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3683728,533884,2026-01-05T20:02:35.883000,,2026-01-05T20:02:35.883000,2026-01-05T20:13:17.390000,NAT,Necessary Action Taken,Y,8E05,006XX Governor Nicholls St,70116,8,POINT (-90.06095201 29.96192806)
A0477926,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3681045,531076,2026-01-05T20:06:13.403000,,2026-01-05T20:06:13.403000,2026-01-05T21:06:46.817000,NAT,Necessary Action Taken,Y,8D01,001XX Blk Bourbon St,70112,8,POINT (-90.06952086 29.95428881)
A0478026,67,THEFT,1G,67,THEFT,1G,3692309,543351,2026-01-05T20:07:13.357000,,2026-01-05T20:07:13.357000,2026-01-05T21:16:59.727000,RTF,REPORT TO FOLLOW,Y,5Q02,030XX Morrice Duncan Dr,70126,5,POINT (-90.03351549 29.98769657)
A0601926,62C,SIMPLE BURGLARY VEHICLE,1C,62C,SIMPLE BURGLARY VEHICLE,1C,3679116,546635,2026-01-06T22:34:43.650000,2026-01-07T01:20:42.470000,2026-01-07T01:25:47.677000,2026-01-07T03:41:43.783000,RTF,REPORT TO FOLLOW,N,3M03,015XX Foy St,70122,3,POINT (-90.07507401 29.99712962)
A0478226,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3671397,538408,2026-01-05T20:10:14.997000,,2026-01-05T20:10:14.997000,2026-01-05T20:10:57.850000,NAT,Necessary Action Taken,Y,1M02,040XX Canal St,70119,1,POINT (-90.09973611 29.97474028)
A0478326,18,TRAFFIC INCIDENT,1J,18,TRAFFIC INCIDENT,1J,3697101,554883,2026-01-05T20:10:33.440000,,2026-01-05T20:10:33.440000,2026-01-05T20:16:43.693000,NAT,Necessary Action Taken,Y,7C03,Dwyer Rd & Shalimar Dr,70126,7,POINT (-90.01796021 30.01925516)
A0478426,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1A,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1D,3672192,524966,2026-01-05T20:16:09.680000,,2026-01-05T20:27:20.233000,2026-01-05T22:44:38.630000,NAT,Necessary Action Taken,N,2O01,Magnolia St & Amelia St,70115,2,POINT (-90.09768366 29.93775499)
A0478526,62A,"BURGLAR ALARM, SILENT",1A,62A,"BURGLAR ALARM, SILENT",2C,3683313,538059,2026-01-05T20:16:32.217000,2026-01-05T21:41:14.473000,2026-01-05T21:46:13.377000,2026-01-05T21:49:54.190000,NAT,Necessary Action Taken,N,5A04,017XX N Claiborne Av,70116,5,POINT (-90.06211398 29.97342161)
